,000001.SS,000001.SS,000001.SS,000001.SS,000001.SS,000001.SS,^VIX,^VIX,^VIX,^VIX,^VIX,^VIX,CNYUSD=X,CNYUSD=X,CNYUSD=X,CNYUSD=X,CNYUSD=X,CNYUSD=X,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
2018-04-06,,,,,,,20.329999923706055,23.1200008392334,18.600000381469727,21.489999771118164,21.489999771118164,0.0,0.15862692892551422,0.15869489312171936,0.15852884948253632,0.15866971015930176,0.15866971015930176,0.0,2645.820068359375,2656.8798828125,2586.27001953125,2604.469970703125,2604.469970703125,3299700000.0
2018-04-09,3125.44189453125,3146.093017578125,3110.302978515625,3138.2939453125,3138.2939453125,139600.0,21.270000457763672,22.020000457763672,20.34000015258789,21.770000457763672,21.770000457763672,0.0,0.15857158601284027,0.1588713675737381,0.15832304954528809,0.15851376950740814,0.15851376950740814,0.0,2617.179931640625,2653.550048828125,2610.7900390625,2613.159912109375,2613.159912109375,3062960000.0
2018-04-10,3144.257080078125,3190.64892578125,3139.0810546875,3190.322021484375,3190.322021484375,168200.0,20.510000228881836,21.68000030517578,20.239999771118164,20.469999313354492,20.469999313354492,0.0,0.15857158601284027,0.15924328565597534,0.1585439294576645,0.15859422087669373,0.15859422087669373,0.0,2638.409912109375,2665.449951171875,2635.780029296875,2656.8701171875,2656.8701171875,3543930000.0
2018-04-11,3197.3720703125,3220.844970703125,3191.5869140625,3208.08203125,3208.08203125,175900.0,20.950000762939453,21.65999984741211,19.639999389648438,20.239999771118164,20.239999771118164,0.0,0.15917231142520905,0.15953288972377777,0.15902802348136902,0.15919511020183563,0.15919511020183563,0.0,2643.889892578125,2661.429931640625,2639.25,2642.18994140625,2642.18994140625,3020760000.0
2018-04-12,3203.278076171875,3205.251953125,3177.049072265625,3180.157958984375,3180.157958984375,148200.0,19.829999923706055,19.920000076293945,18.15999984741211,18.489999771118164,18.489999771118164,0.0,0.15954306721687317,0.1595965325832367,0.15891429781913757,0.15952526032924652,0.15952526032924652,0.0,2653.830078125,2674.719970703125,2653.830078125,2663.989990234375,2663.989990234375,3021320000.0
2018-04-13,3192.0419921875,3197.89599609375,3155.506103515625,3159.052001953125,3159.052001953125,127600.0,18.270000457763672,18.450000762939453,17.260000228881836,17.40999984741211,17.40999984741211,0.0,0.15898756682872772,0.15939556062221527,0.1589067131280899,0.15895724296569824,0.15895724296569824,0.0,2676.89990234375,2680.260009765625,2645.050048828125,2656.300048828125,2656.300048828125,2960910000.0
2018-04-16,3152.887939453125,3153.10595703125,3096.10009765625,3110.64892578125,3110.64892578125,154400.0,17.59000015258789,17.65999984741211,16.3799991607666,16.559999465942383,16.559999465942383,0.0,0.15938794612884521,0.15954306721687317,0.15905077755451202,0.15938541293144226,0.15938541293144226,0.0,2670.10009765625,2686.489990234375,2665.159912109375,2677.840087890625,2677.840087890625,3019700000.0
2018-04-17,3112.97509765625,3118.760009765625,3064.028076171875,3066.797119140625,3066.797119140625,147200.0,16.15999984741211,16.270000457763672,14.569999694824219,15.25,15.25,0.0,0.15934477746486664,0.15937525033950806,0.15909633040428162,0.15934477746486664,0.15934477746486664,0.0,2692.739990234375,2713.340087890625,2692.050048828125,2706.389892578125,2706.389892578125,3234360000.0
2018-04-18,3091.909912109375,3096.888916015625,3041.625,3091.39892578125,3091.39892578125,159300.0,15.300000190734863,16.899999618530273,14.949999809265137,15.600000381469727,15.600000381469727,0.0,0.15921790897846222,0.1596347540616989,0.15899766981601715,0.15922299027442932,0.15922299027442932,0.0,2710.110107421875,2717.489990234375,2703.6298828125,2708.639892578125,2708.639892578125,3383410000.0
2018-04-19,3094.27392578125,3127.43896484375,3090.287109375,3117.3759765625,3117.3759765625,160100.0,15.550000190734863,16.920000076293945,15.15999984741211,15.960000038146973,15.960000038146973,0.0,0.15963220596313477,0.15989510715007782,0.15924328565597534,0.15940320491790771,0.15940320491790771,0.0,2701.159912109375,2702.840087890625,2681.89990234375,2693.1298828125,2693.1298828125,3349370000.0
2018-04-20,3105.4619140625,3111.1708984375,3065.9208984375,3071.54296875,3071.54296875,155100.0,16.15999984741211,17.5,15.1899995803833,16.8799991607666,16.8799991607666,0.0,0.15951251983642578,0.15951251983642578,0.15881837904453278,0.1592838615179062,0.1592838615179062,0.0,2692.56005859375,2693.93994140625,2660.610107421875,2670.139892578125,2670.139892578125,3388590000.0
